,Date,Price
0,2015-01-01,314.0
1,2015-01-02,315.25
2,2015-01-03,315.25
3,2015-01-04,315.25
4,2015-01-05,312.75
5,2015-01-06,299.9
6,2015-01-07,300.15
7,2015-01-08,304.85
8,2015-01-09,303.2
9,2015-01-10,303.2
10,2015-01-11,303.2
11,2015-01-12,307.1
12,2015-01-13,305.1
13,2015-01-14,304.7
14,2015-01-15,320.3
15,2015-01-16,315.45
16,2015-01-17,315.45
17,2015-01-18,315.45
18,2015-01-19,313.15
19,2015-01-20,318.15
20,2015-01-21,326.2
21,2015-01-22,324.65
22,2015-01-23,327.45
23,2015-01-24,327.45
24,2015-01-25,327.45
25,2015-01-26,327.45
26,2015-01-27,330.05
27,2015-01-28,334.6
28,2015-01-29,327.0
29,2015-01-30,308.95
30,2015-01-31,308.95
31,2015-02-01,308.95
32,2015-02-02,307.5
33,2015-02-03,300.3
34,2015-02-04,293.05
35,2015-02-05,290.8
36,2015-02-06,290.3
37,2015-02-07,290.3
38,2015-02-08,290.3
39,2015-02-09,279.5
40,2015-02-10,287.3
41,2015-02-11,285.95
42,2015-02-12,284.3
43,2015-02-13,306.95
44,2015-02-14,306.95
45,2015-02-15,306.95
46,2015-02-16,306.7
47,2015-02-17,306.7
48,2015-02-18,305.7
49,2015-02-19,302.35
50,2015-02-20,302.3
51,2015-02-21,302.3
52,2015-02-22,302.3
53,2015-02-23,296.55
54,2015-02-24,296.25
55,2015-02-25,295.55
56,2015-02-26,289.4
57,2015-02-27,299.9
58,2015-02-28,301.65
59,2015-03-01,301.65
60,2015-03-02,302.0
61,2015-03-03,302.6
62,2015-03-04,293.85
63,2015-03-05,293.8
64,2015-03-06,293.8
65,2015-03-07,293.8
66,2015-03-08,293.8
67,2015-03-09,290.65
68,2015-03-10,287.6
69,2015-03-11,285.15
70,2015-03-12,286.85
71,2015-03-13,280.75
72,2015-03-14,280.75
73,2015-03-15,280.75
74,2015-03-16,281.65
75,2015-03-17,283.1
76,2015-03-18,287.3
77,2015-03-19,281.6
78,2015-03-20,278.25
79,2015-03-21,278.25
80,2015-03-22,278.25
81,2015-03-23,274.75
82,2015-03-24,270.55
83,2015-03-25,265.4
84,2015-03-26,256.65
85,2015-03-27,263.6
86,2015-03-28,263.6
87,2015-03-29,263.6
88,2015-03-30,267.9
89,2015-03-31,267.05
90,2015-04-01,273.45
91,2015-04-02,273.45
92,2015-04-03,273.45
93,2015-04-04,273.45
94,2015-04-05,273.45
95,2015-04-06,274.65
96,2015-04-07,272.05
97,2015-04-08,273.9
98,2015-04-09,280.85
99,2015-04-10,285.75
100,2015-04-11,285.75
101,2015-04-12,285.75
102,2015-04-13,286.3
103,2015-04-14,286.3
104,2015-04-15,290.0
105,2015-04-16,292.4
106,2015-04-17,291.75
107,2015-04-18,291.75
108,2015-04-19,291.75
109,2015-04-20,287.65
110,2015-04-21,289.2
111,2015-04-22,283.85
112,2015-04-23,277.65
113,2015-04-24,275.55
114,2015-04-25,275.55
115,2015-04-26,275.55
116,2015-04-27,267.05
117,2015-04-28,272.5
118,2015-04-29,271.9
119,2015-04-30,269.75
120,2015-05-01,269.75
121,2015-05-02,269.75
122,2015-05-03,269.75
123,2015-05-04,277.15
124,2015-05-05,272.05
125,2015-05-06,265.4
126,2015-05-07,260.95
127,2015-05-08,261.95
128,2015-05-09,261.95
129,2015-05-10,261.95
130,2015-05-11,276.05
131,2015-05-12,267.4
132,2015-05-13,274.3
133,2015-05-14,280.95
134,2015-05-15,287.45
135,2015-05-16,287.45
136,2015-05-17,287.45
137,2015-05-18,289.75
138,2015-05-19,288.45
139,2015-05-20,292.6
140,2015-05-21,290.25
141,2015-05-22,282.45
142,2015-05-23,282.45
143,2015-05-24,282.45
144,2015-05-25,277.65
145,2015-05-26,277.15
146,2015-05-27,280.75
147,2015-05-28,277.6
148,2015-05-29,278.15
149,2015-05-30,278.15
150,2015-05-31,278.15
151,2015-06-01,278.2
152,2015-06-02,266.25
153,2015-06-03,257.4
154,2015-06-04,257.6
155,2015-06-05,257.8
156,2015-06-06,257.8
157,2015-06-07,257.8
158,2015-06-08,254.95
159,2015-06-09,257.6
160,2015-06-10,260.6
161,2015-06-11,254.0
162,2015-06-12,253.95
163,2015-06-13,253.95
164,2015-06-14,253.95
165,2015-06-15,250.25
166,2015-06-16,254.6
167,2015-06-17,255.1
168,2015-06-18,258.1
169,2015-06-19,260.15
170,2015-06-20,260.15
171,2015-06-21,260.15
172,2015-06-22,266.0
173,2015-06-23,267.75
174,2015-06-24,262.35
175,2015-06-25,264.8
176,2015-06-26,265.2
177,2015-06-27,265.2
178,2015-06-28,265.2
179,2015-06-29,259.65
180,2015-06-30,262.75
181,2015-07-01,267.75
182,2015-07-02,267.85
183,2015-07-03,269.4
184,2015-07-04,269.4
185,2015-07-05,269.4
186,2015-07-06,270.8
187,2015-07-07,272.9
188,2015-07-08,267.35
189,2015-07-09,267.75
190,2015-07-10,270.55
191,2015-07-11,270.55
192,2015-07-12,270.55
193,2015-07-13,273.7
194,2015-07-14,268.2
195,2015-07-15,268.05
196,2015-07-16,272.2
197,2015-07-17,271.1
198,2015-07-18,271.1
199,2015-07-19,271.1
200,2015-07-20,267.45
201,2015-07-21,264.3
202,2015-07-22,268.55
203,2015-07-23,270.05
204,2015-07-24,263.25
205,2015-07-25,263.25
206,2015-07-26,263.25
207,2015-07-27,258.45
208,2015-07-28,259.2
209,2015-07-29,253.6
210,2015-07-30,256.8
211,2015-07-31,270.05
212,2015-08-01,270.05
213,2015-08-02,270.05
214,2015-08-03,281.05
215,2015-08-04,288.6
216,2015-08-05,285.4
217,2015-08-06,289.05
218,2015-08-07,281.3
219,2015-08-08,281.3
220,2015-08-09,281.3
221,2015-08-10,282.75
222,2015-08-11,268.8
223,2015-08-12,256.35
224,2015-08-13,259.3
225,2015-08-14,268.5
226,2015-08-15,268.5
227,2015-08-16,268.5
228,2015-08-17,279.75
229,2015-08-18,284.8
230,2015-08-19,278.0
231,2015-08-20,270.55
232,2015-08-21,267.5
233,2015-08-22,267.5
234,2015-08-23,267.5
235,2015-08-24,245.4
236,2015-08-25,253.35
237,2015-08-26,245.7
238,2015-08-27,249.45
239,2015-08-28,248.95
240,2015-08-29,248.95
241,2015-08-30,248.95
242,2015-08-31,247.35
243,2015-09-01,239.1
244,2015-09-02,230.55
245,2015-09-03,232.25
246,2015-09-04,225.15
247,2015-09-05,225.15
248,2015-09-06,225.15
249,2015-09-07,221.1
250,2015-09-08,228.35
251,2015-09-09,231.65
252,2015-09-10,227.45
253,2015-09-11,230.1
254,2015-09-12,230.1
255,2015-09-13,230.1
256,2015-09-14,235.25
257,2015-09-15,234.0
258,2015-09-16,236.8
259,2015-09-17,236.8
260,2015-09-18,242.0
261,2015-09-19,242.0
262,2015-09-20,242.0
263,2015-09-21,245.25
264,2015-09-22,237.95
265,2015-09-23,239.85
266,2015-09-24,239.05
267,2015-09-25,239.05
268,2015-09-26,239.05
269,2015-09-27,239.05
270,2015-09-28,239.45
271,2015-09-29,241.9
272,2015-09-30,237.15
273,2015-10-01,235.15
274,2015-10-02,235.15
275,2015-10-03,235.15
276,2015-10-04,235.15
277,2015-10-05,240.0
278,2015-10-06,240.1
279,2015-10-07,243.55
280,2015-10-08,243.3
281,2015-10-09,243.45
282,2015-10-10,243.45
283,2015-10-11,243.45
284,2015-10-12,244.55
285,2015-10-13,243.8
286,2015-10-14,244.25
287,2015-10-15,248.95
288,2015-10-16,254.85
289,2015-10-17,254.85
290,2015-10-18,254.85
291,2015-10-19,254.5
292,2015-10-20,254.85
293,2015-10-21,249.8
294,2015-10-22,249.8
295,2015-10-23,253.4
296,2015-10-24,253.4
297,2015-10-25,253.4
298,2015-10-26,251.25
299,2015-10-27,248.8
300,2015-10-28,242.05
301,2015-10-29,236.95
302,2015-10-30,237.05
303,2015-10-31,237.05
